"id","num_changes","created_at","user","tags","min_x","max_x","min_y","max_y"
"82320334","1","2020-03-17 22:36:31.000","Patricia Solis","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-111.8913907","-111.8913907","33.3338583","33.3338584"
"82339303","1","2020-03-18 09:00:22.000","sanchi","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-5.6731206","-5.6724132","40.9695268","40.9700252"
"80901102","1","2020-02-12 11:13:11.000","tyr_asd","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","8.6884671","8.6898136","49.4019286","49.4032099"
"79735835","1","2020-01-18 16:48:15.000","Privatemajory","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","47.1099382","47.1099383","-21.4618694","-21.4618694"
"75687335","1","2019-10-14 20:24:34.000","ChrisJow","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-122.3978058","-122.3971570","47.6386516","47.6390074"
"78429026","1","2019-12-15 12:56:42.000","mikoMK","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","8.9425883","8.9425884","47.1752188","47.1752188"
"78470796","1","2019-12-16 11:24:15.000","LeeFeander","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","33.5122915","33.5122915","-36.7950971","-36.7950971"
"78470865","1","2019-12-16 11:26:06.000","LeeFeander","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","33.4423828","33.4423828","-36.8092847","-36.8092847"
"78470919","1","2019-12-16 11:27:24.000","LeeFeander","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","33.4423828","33.4423828","-36.8092847","-36.8092847"
"78470941","1","2019-12-16 11:28:05.000","LeeFeander","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","28.4985352","28.4985352","-28.6520306","-28.6520306"
"78471217","1","2019-12-16 11:35:12.000","LeeFeander","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","0.0000000","0.0000000","0.0000000","0.0000000"
"79761466","1","2020-01-19 18:02:33.000","Matteo Btt","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","34.5941341","34.5941341","8.2496420","8.2496420"
"78547388","1","2019-12-17 22:08:47.000","Binnette","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","5.7494378","5.7494378","45.1850777","45.1850777"
"78547422","1","2019-12-17 22:10:21.000","Binnette","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","5.7589889","5.7589889","45.1827063","45.1827063"
"75217282","1","2019-10-03 08:21:39.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.3225594","-7.3225594","39.2403720","39.2403720"
"75248750","1","2019-10-03 18:43:17.000","allieduniversal","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","127.9826772","127.9826772","-20.1415996","-20.1415996"
"75248916","1","2019-10-03 18:48:21.000","allieduniversal","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","127.9826772","127.9826772","-20.1415996","-20.1415996"
"73866970","1","2019-08-29 06:35:03.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","99.9226150","99.9229248","-0.3948677","-0.3945820"
"73867093","1","2019-08-29 06:40:56.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","100.9309287","100.9315385","-0.6593959","-0.6588511"
"73867324","1","2019-08-29 06:50:06.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","99.8270246","99.8282879","0.1076824","0.1086051"
"73944661","1","2019-08-31 07:55:50.000","AndrewJincom","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","18.8567768","18.8567769","-33.9544376","-33.9544376"
"73966128","1","2019-09-01 07:55:31.000","naveenpf","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","76.2177565","76.2177565","10.3474484","10.3474484"
"73995734","1","2019-09-02 10:59:37.000","robertbruil","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.4616187","4.4616187","52.1783925","52.1783925"
"74063871","1","2019-09-04 04:06:07.000","naveenpf","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","79.4140465","79.4140466","13.6383743","13.6383744"
"76795480","1","2019-11-08 08:52:35.000","Eaton's Quality Medical & Skin Cancer Centre","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","152.9622150","152.9622150","-27.3373994","-27.3373993"
"71696630","0","2019-06-28 07:22:58.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"71696808","0","2019-06-28 07:30:36.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"71696825","0","2019-06-28 07:31:05.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"71696894","0","2019-06-28 07:33:14.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"71696910","1","2019-06-28 07:33:34.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","100.0307000","100.0307000","-0.3138400","-0.3138400"
"71772990","0","2019-07-01 06:38:08.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"71773004","1","2019-07-01 06:38:54.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","100.0307000","100.0307000","-0.3138400","-0.3138400"
"71774689","1","2019-07-01 07:51:27.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","100.0307000","100.0307000","-0.3138400","-0.3138400"
"78633442","1","2019-12-19 10:55:43.000","easylin","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","104.0547645","104.0547645","30.6569402","30.6569402"
"78636209","1","2019-12-19 12:11:00.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.4570778","-7.4570778","39.4146701","39.4146701"
"77111442","1","2019-11-15 08:09:50.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.4313444","-7.4313444","39.2622765","39.2622765"
